DATE,TOTAL_POINTS
2019-01-01,69203360
2019-01-02,149109493
2019-01-03,148322195
2019-01-04,172885261
2019-01-05,184846872
2019-01-06,107200223
2019-01-07,106866405
2019-01-08,97504488
2019-01-09,95650297
2019-01-10,110221091
2019-01-11,133719650
2019-01-12,152361306
2019-01-13,92558110
2019-01-14,88887811
2019-01-15,83131889
2019-01-16,83362450
2019-01-17,92458246
2019-01-18,112735241
2019-01-19,135473763
2019-01-20,82717926
2019-01-21,81782726
2019-01-22,73775014
2019-01-23,72611188
2019-01-24,81876753
2019-01-25,99296933
2019-01-26,112908309
2019-01-27,70917278
2019-01-28,75401317
2019-01-29,67585908
2019-01-30,65274730
2019-01-31,73556906
2019-02-01,74538932
2019-02-02,101040846
2019-02-03,64773072
2019-02-04,68678623
2019-02-05,64098898
2019-02-06,65637710
2019-02-07,72625379
2019-02-08,81528739
2019-02-09,99336946
2019-02-10,63819458
2019-02-11,66987394
2019-02-12,70116462
2019-02-13,74845556
2019-02-14,75253671
2019-02-15,81539227
2019-02-16,97691322
2019-02-17,61318596
2019-02-18,70359162
2019-02-19,62275847
2019-02-20,64742613
2019-02-21,68345050
2019-02-22,82580004
2019-02-23,94295341
2019-02-24,58958535
2019-02-25,65438875
2019-02-26,57144421
2019-02-27,57421080
2019-02-28,64213940
2019-03-01,76322982
2019-03-02,91453505
2019-03-03,60168651
2019-03-04,63660692
2019-03-05,61357751
2019-03-06,60664661
2019-03-07,65791407
2019-03-08,78267062
2019-03-09,89608554
2019-03-10,59478485
2019-03-11,63816302
2019-03-12,57538984
2019-03-13,58176588
2019-03-14,67164958
2019-03-15,75098558
2019-03-16,87004106
2019-03-17,55606590
2019-03-18,62527976
2019-03-19,59765428
2019-03-20,59015038
2019-03-21,65344367
2019-03-22,75689037
2019-03-23,86085658
2019-03-24,58430309
2019-03-25,60679029
2019-03-26,58502236
2019-03-27,59288678
2019-03-28,63555831
2019-03-29,73740325
2019-03-30,88541933
2019-03-31,47171858
2019-04-01,67559944
2019-04-02,67416106
2019-04-03,63247765
2019-04-04,68292770
2019-04-05,79199113
2019-04-06,86927053
2019-04-07,57891033
2019-04-08,66629150
2019-04-09,61568302
2019-04-10,65302600
2019-04-11,76045706
2019-04-12,88463226
2019-04-13,99583236
2019-04-14,63534655
2019-04-15,77110268
